Fixation,First_Operand,Second_Operand,Solution,Correct_answer
Fixation_Point3.jpg,S5_450ms.mp3,S9_450ms.mp3,45,ArrowRight
Fixation_Point3.jpg,S5_450ms.mp3,S2_450ms.mp3,10,ArrowRight
Fixation_Point3.jpg,S6_450ms.mp3,S5_450ms.mp3,30,ArrowRight
Fixation_Point3.jpg,S6_450ms.mp3,S3_450ms.mp3,21,ArrowLeft
Fixation_Point3.jpg,S6_450ms.mp3,S7_450ms.mp3,42,ArrowRight
Fixation_Point3.jpg,S9_450ms.mp3,S4_450ms.mp3,40,ArrowLeft
Fixation_Point3.jpg,S8_450ms.mp3,S4_450ms.mp3,32,ArrowRight
Fixation_Point3.jpg,S4_450ms.mp3,S6_450ms.mp3,18,ArrowLeft
Fixation_Point3.jpg,S6_450ms.mp3,S9_450ms.mp3,45,ArrowLeft
Fixation_Point3.jpg,S4_450ms.mp3,S3_450ms.mp3,15,ArrowLeft
Fixation_Point3.jpg,S3_450ms.mp3,S8_450ms.mp3,16,ArrowLeft
Fixation_Point3.jpg,S5_450ms.mp3,S3_450ms.mp3,15,ArrowRight
Fixation_Point3.jpg,S9_450ms.mp3,S3_450ms.mp3,27,ArrowRight
Fixation_Point3.jpg,S7_450ms.mp3,S2_450ms.mp3,14,ArrowRight
Fixation_Point3.jpg,S8_450ms.mp3,S2_450ms.mp3,14,ArrowLeft
Fixation_Point3.jpg,S2_450ms.mp3,S5_450ms.mp3,10,ArrowRight
Fixation_Point3.jpg,S3_450ms.mp3,S6_450ms.mp3,18,ArrowRight
Fixation_Point3.jpg,S9_450ms.mp3,S4_450ms.mp3,36,ArrowRight
Fixation_Point3.jpg,S8_450ms.mp3,S6_450ms.mp3,48,ArrowRight
Fixation_Point3.jpg,S7_450ms.mp3,S4_450ms.mp3,32,ArrowLeft
Fixation_Point3.jpg,S2_450ms.mp3,S3_450ms.mp3,9,ArrowLeft
Fixation_Point3.jpg,S9_450ms.mp3,S5_450ms.mp3,50,ArrowLeft
Fixation_Point3.jpg,S3_450ms.mp3,S5_450ms.mp3,20,ArrowLeft
Fixation_Point3.jpg,S2_450ms.mp3,S3_450ms.mp3,6,ArrowRight
Fixation_Point3.jpg,S3_450ms.mp3,S7_450ms.mp3,14,ArrowLeft
Fixation_Point3.jpg,S2_450ms.mp3,S4_450ms.mp3,12,ArrowLeft
Fixation_Point3.jpg,S9_450ms.mp3,S6_450ms.mp3,54,ArrowRight
Fixation_Point3.jpg,S8_450ms.mp3,S2_450ms.mp3,16,ArrowRight
